Employee ID,Gender,Job Level after FY20 promotions,New hire FY20?,FY20 Performance Rating,Promotion in FY21?,In base group for Promotion FY21,Target hire balance,FY20 leaver?,In base group for turnover FY20,Department @01.07.2020,Leaver FY,Job Level after FY21 promotions,Last Department in FY20,FTE group,Time type,Department & JL group PRA status,Department & JL group for PRA,Job Level group PRA status,Job Level group for PRA,Time in Job Level @01.07.2020,Job Level before FY20 promotions,Promotion in FY20?,FY19 Performance Rating,Age group,Age @01.07.2020,Nationality 1,Region group: nationality 1,Broad region group: nationality 1,Last hire date,Years since last hire,Rand
1,Male,6 - Junior Officer,N,2,No,No,0.50,Yes,Y,Operations,FY20,,Operations,Full Time,Full Time,,,,,3,6 - Junior Officer,N,3,30 to 39,37,Spain,Europe,Europe,01-04-2017,3,0.570399018
2,Female,4 - Manager,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,#REF!,4 - Manager & Sales & Marketing,#REF!,4 - Manager,3,4 - Manager,N,,30 to 39,37,Germany,Europe,Europe,01-04-2017,3,0.943591028
3,Male,2 - Director,N,2,No,Yes,0.50,No,Y,Strategy,,2 - Director,Strategy,Full Time,Full Time,#REF!,2 - Director & Strategy,Uneven - Men benefit,2 - Director,3,2 - Director,N,3,30 to 39,35,Switzerland,Switzerland,Switzerland,01-04-2015,5,0.198300542
4,Male,4 - Manager,N,3,No,Yes,0.50,No,Y,HR,,4 - Manager,HR,Full Time,Full Time,#REF!,4 - Manager & HR,#REF!,4 - Manager,3,4 - Manager,N,3,30 to 39,32,Germany,Europe,Europe,01-04-2012,8,0.18532262
5,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,#REF!,6 - Junior Officer & Sales & Marketing,#REF!,6 - Junior Officer,1,6 - Junior Officer,N,,20 to 29,28,Switzerland,Switzerland,Switzerland,01-04-2019,1,0.104559494
6,Female,4 - Manager,Y,,No,No,0.50,No,N,Internal Services,,4 - Manager,Internal Services,Full Time,Full Time,#REF!,4 - Manager & Internal Services,#REF!,4 - Manager,0,,N,,40 to 49,42,Italy,Europe,Europe,01-04-2020,0,0.841387366
7,Male,3 - Senior Manager,Y,,No,No,0.50,No,N,Operations,,3 - Senior Manager,Operations,Full Time,Full Time,#REF!,3 - Senior Manager & Operations,#REF!,3 - Senior Manager,0,,N,,30 to 39,35,Italy,Europe,Europe,01-04-2020,0,0.136574718
8,Female,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,HR,,5 - Senior Officer,HR,Full Time,Full Time,#REF!,5 - Senior Officer & HR,#REF!,5 - Senior Officer,3,5 - Senior Officer,N,3,30 to 39,34,Switzerland,Switzerland,Switzerland,01-04-2013,7,0.546115486
9,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,#REF!,6 - Junior Officer & Sales & Marketing,#REF!,6 - Junior Officer,1,6 - Junior Officer,N,,20 to 29,26,United States,Americas,Elsewhere,01-04-2019,1,0.234148425
10,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Internal Services,,6 - Junior Officer,Internal Services,Full Time,Full Time,#REF!,6 - Junior Officer & Internal Services,#REF!,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,24,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.856671902
11,Male,4 - Manager,N,3,No,Yes,0.50,No,Y,Operations,,4 - Manager,Operations,Full Time,Full Time,#REF!,4 - Manager & Operations,#REF!,4 - Manager,2,4 - Manager,N,2,30 to 39,34,Switzerland,Switzerland,Switzerland,01-04-2011,9,0.312183353
12,Female,6 - Junior Officer,N,2,Yes,Yes,0.50,No,Y,Strategy,,5 - Senior Officer,Strategy,Full Time,Full Time,#REF!,6 - Junior Officer & Strategy,#REF!,6 - Junior Officer,3,6 - Junior Officer,N,3,30 to 39,34,France,Europe,Europe,01-04-2017,3,0.731150172
13,Male,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,#REF!,5 - Senior Officer & Operations,#REF!,5 - Senior Officer,3,5 - Senior Officer,N,3,20 to 29,29,Germany,Europe,Europe,01-04-2015,5,0.076346825
14,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,#REF!,6 - Junior Officer & Operations,#REF!,6 - Junior Officer,3,6 - Junior Officer,N,2,20 to 29,20,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.883780445
15,Male,6 - Junior Officer,N,3,No,No,0.50,Yes,Y,Internal Services,FY20,,Internal Services,Full Time,Full Time,,,,,1,6 - Junior Officer,N,,20 to 29,28,France,Europe,Europe,01-04-2019,1,0.0740212
